,date_id,r1,r2,r3,r4,r5,r6,blue
406,6043,5,12,13,16,23,32,3
407,6044,2,10,18,21,30,31,5
408,6045,6,7,10,14,20,21,4
409,6046,13,18,23,29,31,32,8
410,6047,2,17,20,22,28,32,3
411,6048,9,13,19,25,29,32,12
412,6049,6,10,12,13,17,20,3
413,6050,2,6,12,15,25,31,7
414,6051,2,6,7,17,27,30,16
415,6052,11,24,26,27,30,32,3
416,6053,1,11,17,27,28,31,2
417,6054,3,5,7,10,28,30,4
418,6055,4,5,28,29,31,33,11
419,6056,11,13,15,21,23,25,8
420,6057,3,4,17,18,21,31,8
421,6058,1,12,22,23,24,25,14
422,6059,5,10,15,17,27,29,11
423,6060,5,15,19,23,30,32,14
424,6061,5,13,17,19,25,30,11
425,6062,18,22,23,24,26,30,1
426,6063,4,5,15,21,23,24,8
427,6064,3,12,14,21,24,28,11
428,6065,4,8,17,28,29,30,13
429,6066,6,8,11,18,30,33,5
430,6067,7,8,11,16,17,24,13
431,6068,3,7,10,14,30,33,10
432,6069,5,16,20,22,29,30,8
433,6070,2,3,11,13,20,27,2
434,6071,5,11,12,19,29,31,1
435,6072,2,3,5,20,21,24,8
436,6073,5,13,16,18,27,29,12
437,6074,1,3,15,19,25,33,4
438,6075,10,21,22,23,25,33,11
439,6076,4,10,17,21,29,32,14
440,6077,8,9,12,13,19,33,9
441,6078,3,5,17,22,31,33,12
442,6079,6,11,13,17,20,32,8
443,6080,15,17,20,22,26,29,9
444,6081,14,16,18,21,22,32,4
445,6082,3,13,15,23,28,29,9
446,6083,7,9,18,19,26,29,10
447,6084,1,12,17,21,25,28,12
448,6085,2,6,18,21,24,25,8
449,6086,4,6,10,24,26,31,6
450,6087,4,5,8,9,12,30,5
451,6088,3,11,20,24,25,26,1
452,6089,1,13,16,18,19,22,1
453,6090,2,11,15,20,23,29,11
454,6091,7,8,12,21,22,24,7
455,6092,2,8,11,16,20,21,14
456,6093,2,12,16,18,19,23,5
457,6094,15,16,17,18,24,33,13
458,6095,1,3,17,20,21,29,16
459,6096,1,5,9,13,18,33,14
460,6097,11,14,15,20,26,27,12
461,6098,6,7,10,11,18,23,16
462,6099,9,12,18,23,24,27,5
463,6100,1,11,18,26,30,32,3
464,6101,9,12,20,26,27,28,16
465,6102,1,4,13,19,20,24,11
466,6103,12,14,15,25,28,31,6
467,6104,3,7,22,27,28,31,11
468,6105,5,12,14,15,20,31,1
469,6106,2,12,14,19,28,33,10
470,6107,1,6,8,13,17,30,7
471,6108,2,6,8,20,24,30,9
472,6109,1,5,17,18,23,26,13
473,6110,9,12,14,18,27,33,13
474,6111,1,8,11,16,17,22,15
475,6112,4,9,13,15,31,33,11
476,6113,5,14,17,18,28,33,2
477,6114,8,10,14,20,27,29,16
478,6115,1,10,20,26,28,29,15
479,6116,5,16,21,22,32,33,9
480,6117,6,14,20,22,23,26,9
481,6118,1,3,7,8,10,30,5
482,6119,1,2,14,20,27,30,2
483,6120,6,8,14,15,24,33,9
484,6121,3,4,6,27,31,33,6
485,6122,4,5,6,8,22,24,3
486,6123,2,3,20,25,28,32,6
487,6124,12,13,14,18,31,32,13
